date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:42	84/84	---M--	200	added ('OK')	text/plain	etag:%22bde73709ed166cbc01736721c1f915fc-ssl%22	https://www.instaheat-solutions.co.uk/robots.txt		(from )
01:21:42	31176/31176	---MCZ	200	added ('OK')	text/html	etag:%22039d037e4a099609dbfcae7260efaaf8-ssl-df%22	https://www.instaheat-solutions.co.uk/	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/index.html	(from )
01:21:43	142417/142417	---M-Z	200	added ('OK')	application/javascript	etag:%2211b4e734dacecee8fd99d6fad18c10c2-ssl-df%22	https://www.instaheat-solutions.co.uk/component---src-layouts-index-js-b2e2f0bb68b8bb1344bd.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/component---src-layouts-index-js-b2e2f0bb68b8bb1344bd.js	(from https://www.instaheat-solutions.co.uk/)
01:21:44	26178/26178	---MCZ	200	added ('OK')	application/javascript	etag:%223189b86ba76bba82ad64d5e54a20999b-ssl-df%22	https://www.instaheat-solutions.co.uk/component---src-pages-index-js-0830a1be8d29586d9890.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/component---src-pages-index-js-0830a1be8d29586d9890.js	(from https://www.instaheat-solutions.co.uk/)
01:21:44	2607/2607	---M-Z	200	added ('OK')	application/javascript	etag:%229140980c489fbe7598ddfbdd1b1c693a-ssl-df%22	https://www.instaheat-solutions.co.uk/path---index-bf6ac978a4f8df8d915b.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/path---index-bf6ac978a4f8df8d915b.js	(from https://www.instaheat-solutions.co.uk/)
01:21:44	39523/39523	---M-Z	200	added ('OK')	application/javascript	etag:%22869e3606006e19398e95a2563fdb92bc-ssl-df%22	https://www.instaheat-solutions.co.uk/app-4710518484a2dcbce1b6.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/app-4710518484a2dcbce1b6.js	(from https://www.instaheat-solutions.co.uk/)
01:21:45	292656/292656	---M-Z	200	added ('OK')	application/javascript	etag:%223a20ae49c87ad4554885d97e1f0c4381-ssl-df%22	https://www.instaheat-solutions.co.uk/commons-f7fd30e9f7445236ce15.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/commons-f7fd30e9f7445236ce15.js	(from https://www.instaheat-solutions.co.uk/)
01:21:46	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.google-analytics.com/analytics.js	(from https://www.instaheat-solutions.co.uk/)
01:21:47	181520/181520	---M--	200	added ('OK')	image/jpeg	etag:%2290d7f6d6e8ea5d2ea7a5d50a9947156d-ssl%22	https://www.instaheat-solutions.co.uk/static/hero-image.666e6a2e.jpg	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/static/hero-image.666e6a2e.jpg	(from https://www.instaheat-solutions.co.uk/)
01:21:47	151652/151652	---M--	200	added ('OK')	image/png	etag:%22cf547475a5d970787e326353a5a49d09-ssl%22	https://www.instaheat-solutions.co.uk/static/favicon.45bef44b.png	C:/My%20Web%20Sites/instaheat-solutions.co.uk/www.instaheat-solutions.co.uk/static/favicon.45bef44b.png	(from https://www.instaheat-solutions.co.uk/)
